ATHLETE NAME,TEAM,SPORT,EVENT,MEDAL,CONTINENT,EVENT TYPE
Aaron Wilson,Australia,Lawn Bowls and Para Lawn Bowls,Men's Singles,G,Australia& Oceania,Single
Abbey Caldwell,Australia,Athletics and Para Athletics,Women's 1500m,B,Australia& Oceania,Single
Abigail Paduch,Australia,Judo,Women +78 kg,B,Australia& Oceania,Single
Alana King,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Aleisha Power,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Alex Anthony Saffy,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Butterfly S10,S,Australia& Oceania,Single
Alex Perkins,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania,Mixed
Alex Wilson,Australia,3x3 Basketball,Women,B,Australia& Oceania,Mixed
Alexandra Kiroi-Bogatyreva,Australia,Gymnastics - Rhythmic,Team,S,Australia& Oceania,Mixed
Alexandra Kiroi-Bogatyreva,Australia,Gymnastics - Rhythmic,Clubs,G,Australia& Oceania,Single
Alexandra Kiroi-Bogatyreva,Australia,Gymnastics - Rhythmic,Individual All-Around,B,Australia& Oceania,Single
Alysia Lefau-Fakaosilea,Australia,Rugby Sevens,Women,G,Australia& Oceania,Mixed
Alyssa Healy,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Amanda-Jade Wellington,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Amber Merritt,Australia,3x3 Wheelchair Basketball,Women,S,Australia& Oceania,Mixed
Ambrosia Malone,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Amy Lawton,Australia,Hockey,Women,S,Australia& Oceania,Mixed
Anabelle Luce Smith,Australia,Aquatics - Diving,Women's Synchronised 3m Springboard,G,Australia& Oceania,Mixed
Andrew Charter,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Angela Ballard,Australia,Athletics and Para Athletics,Women's T53/54 1500m,S,Australia& Oceania,Single
Annabel Sutherland,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Aoife Coughlan,Australia,Judo,Women -70 kg,G,Australia& Oceania,Single
Aran Zalewski,Australia,Hockey,Men,G,Australia& Oceania,Mixed
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,G,Australia& Oceania,Mixed
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle,G,Australia& Oceania,Single
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 400m Freestyle,G,Australia& Oceania,Single
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 800m Freestyle,G,Australia& Oceania,Single
Ash Gardner,Australia,Cricket T20,Cricket T20,G,Australia& Oceania,Mixed
Ashari Jesse Gill,Australia,Gymnastics - Rhythmic,Team,S,Australia& Oceania,Mixed
Ashleigh Brazill,Australia,Netball,Netball,G,Australia& Oceania,Mixed
Barry Lester,Australia,Lawn Bowls and Para Lawn Bowls,Men's Triples,S,Australia& Oceania,Mixed
Beau Wootton,Australia,Cycling - Track and Para Track,Men's Tandem B - Sprint,B,Australia& Oceania,Mixed
Ben Twist,Australia,Lawn Bowls and Para Lawn Bowls,Men's Triples,S,Australia& Oceania,Mixed
Benjamin Hance,Australia,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle S14,S,Australia& Oceania,Single
